gene_symbol	median_hot	median_any_mut	median_wt	n_hot	n_any_mut	n_wt	tier	score	delta_hot_vs_wt	delta_anymut_vs_wt
ERG			-0.0139052873323712	0	0	1207	A	5.75		
KRAS	-1.95203241172513	-1.85804317502147	-0.488629825239922	93	99	1109	A	6.5	-1.46340258648521	-1.36941334978155
BRAF	-1.21175726107889	-1.18483968985095	-0.0868280061283473	42	47	1160	A	14.5	-1.12492925495055	-1.0980116837226
CTNNB1	-1.43199708583434	-1.19857331291832	-0.137138734094727	15	18	1190	A	10.5	-1.29485835173961	-1.06143457882359
KIT		-0.748272648638709	-0.0527724253929014	0	3	1205	A	7.5		-0.695500223245808
PIK3CA	-1.03579514507358	-1.00438812612442	-0.424528730597839	48	60	1148	A	6.5	-0.611266414475736	-0.579859395526581
ALK	-0.696429046664326	-0.62607524322739	-0.0838065609027417	6	7	1201	A	8.5	-0.612622485761584	-0.542268682324649
IDH1	-0.487191553673592	-0.487191553673592	-0.088914275276094	1	1	1207	A	6.5	-0.398277278397498	-0.398277278397498
MYC		-2.35019391395921	-2.06709795657202	0	19	1189	A	6.5		-0.283095957387184
PTPN11	-1.20461051578344	-0.936134459561004	-0.742152685865826	4	11	1197	A	6.5	-0.462457829917614	-0.193981773695178
PDGFRA		-0.349445524118426	-0.17056968470361	0	1	1207	A	4.5		-0.178875839414816
MYCN		-0.254947092672855	-0.0971805515869771	0	1	1207	A	11.5		-0.157766541085878
SMO		-0.0661454629776503	-0.0828168835998296	0	1	1202	A	3.5		0.0166714206221793
CCND2			-0.0982687401524938	0	0	1207	B	3.75		
COL1A1			-0.0921759682889331	0	0	1208	B	2.5		
EWSR1			-1.12021707681848	0	0	1208	B	8.25		
FLI1			-0.0454208572332669	0	0	1208	B	3		
NTRK3			0.0277674079349654	0	0	1208	B	4.5		
NUTM1			-0.0102510265338117	0	0	1208	B	4.5		
PAX3			-0.0150289208212183	0	0	1208	B	3.75		
PAX7			0.0263854962682388	0	0	1208	B	3.75		
RELA			-0.366167309425438	0	0	1208	B	4.5		
YAP1			-0.287618683896871	0	0	1208	B	3.75		
ZFTA			-0.00987880806878343	0	0	74	B	4.5		
FGFR3	-1.11693976912407	-1.11693976912407	0.0519647096619347	3	3	1205	B	4	-1.168904478786	-1.168904478786
FOXO1		-0.820599859681977	-0.0930892156339568	0	1	1206	B	4.5		-0.72751064404802
CTCF		-2.2275703529819	-1.8194800931654	0	10	1182	B	4.5		-0.408090259816502
FGFR2	-0.138394603931637	-0.0854823680853309	-0.0503537936919529	5	7	1201	B	4	-0.0880408102396845	-0.035128574393378
DDX3X		-0.899504921316333	-0.910668558652368	0	20	1185	B	5		0.0111636373360352
MET		0.058936294037297	-0.0124543468205463	0	1	1206	B	4.5		0.0713906408578434
ASPSCR1			-0.162931480070363	0	0	1208	C	3		
GLI1			-0.243607658498084	0	0	1208	C	1.75		
GLI2			-0.00688556914142822	0	0	1208	C	2.75		
KIAA1549			0.00349808640335486	0	0	1208	C	6		
MAMLD1			0.0701910364908798	0	0	1208	C	2.25		
PRKAR2B			0.0766399249160006	0	0	1208	C	3		
SS18			0.0538021170732846	0	0	1208	C	3.75		
SSX1			-0.123293926537631	0	0	1208	C	3		
TFE3			0.0322798251263774	0	0	1208	C	3.75		
USP6			-0.176997004261926	0	0	1208	C	2.25		
H3F3A	-1.74657578900006	-1.48721761717675	-1.42250637804903	4	6	1083	C	2	-0.32406941095102	-0.0647112391277167
PPM1D		-0.167615472024075	-0.184112990676303	0	8	1195	C	1.75		0.0164975186522281
