gene_symbol	median_hot	median_any_mut	median_wt	n_hot	n_any_mut	n_wt	tier	score	delta_hot_vs_wt	delta_anymut_vs_wt
FGFR1			-0.0833763665843082	0	0	1208	A	9.5		
FGFR4			0.001916034827324	0	0	1208	A	9.5		
HIST1H3B			-0.152279231738458	0	0	1208	A	9.5		
HIST1H3C			-0.152942291470419	0	0	1208	A	9		
KRAS	-1.95203241172513	-1.85804317502147	-0.488629825239922	93	99	1109	A	10	-1.46340258648521	-1.36941334978155
NRAS	-1.39082659472694	-1.37385600722741	-0.143536185021303	38	39	1169	A	10	-1.24729040970564	-1.2303198222061
BRAF	-1.21175726107889	-1.18483968985095	-0.0868280061283473	42	47	1160	A	10	-1.12492925495055	-1.0980116837226
CTNNB1	-1.43199708583434	-1.19857331291832	-0.137138734094727	15	18	1190	A	9.5	-1.29485835173961	-1.06143457882359
FLT3	-1.61693401475206	-0.969948735720886	-0.142820635997333	1	5	1203	A	9.5	-1.47411337875473	-0.827128099723553
KIT		-0.748272648638709	-0.0527724253929014	0	3	1205	A	8.5		-0.695500223245808
PIK3CA	-1.03579514507358	-1.00438812612442	-0.424528730597839	48	60	1148	A	9.5	-0.611266414475736	-0.579859395526581
ALK	-0.696429046664326	-0.62607524322739	-0.0838065609027417	6	7	1201	A	10	-0.612622485761584	-0.542268682324649
HRAS	-1.02771971926253	-0.67490982884233	-0.170632481683127	8	10	1198	A	10	-0.857087237579401	-0.504277347159203
IDH1	-0.487191553673592	-0.487191553673592	-0.088914275276094	1	1	1207	A	9	-0.398277278397498	-0.398277278397498
MTOR		-1.6007214899813	-1.25180904025029	0	7	1201	A	9		-0.348912449731015
MYC		-2.35019391395921	-2.06709795657202	0	19	1189	A	8		-0.283095957387184
PTPN11	-1.20461051578344	-0.936134459561004	-0.742152685865826	4	11	1197	A	8.5	-0.462457829917614	-0.193981773695178
PDGFRA		-0.349445524118426	-0.17056968470361	0	1	1207	A	9.5		-0.178875839414816
MYCN		-0.254947092672855	-0.0971805515869771	0	1	1207	A	8		-0.157766541085878
EGFR	-0.810951660444999	-0.226606820679162	-0.130175528892264	3	12	1196	A	10	-0.680776131552734	-0.0964312917868977
H3F3A	-1.74657578900006	-1.48721761717675	-1.42250637804903	4	6	1083	A	9.5	-0.32406941095102	-0.0647112391277167
SMO		-0.0661454629776503	-0.0828168835998296	0	1	1202	A	9		0.0166714206221793
AKT1		0.0598700831538037	-0.0574210502859348	0	4	1204	A	9		0.117291133439738
ACVR1		0.262511756371042	0.056968829537926	0	1	1206	A	9.5		0.205542926833116
