gene_symbol	median_mut	median_wt	n_mut	n_wt	delta_median
KRAS	-1.95203241172513	-0.488629825239922	93	1109	-1.46340258648521
CTNNB1	-1.43199708583434	-0.137138734094727	15	1190	-1.29485835173961
NRAS	-1.39082659472694	-0.143536185021303	38	1169	-1.24729040970564
BRAF	-1.21175726107889	-0.0868280061283473	42	1160	-1.12492925495055
ERBB2	-1.32768082078464	-0.274830019556845	4	1193	-1.05285080122779
HRAS	-1.02771971926253	-0.170632481683127	8	1198	-0.857087237579401
EGFR	-0.810951660444999	-0.130175528892264	3	1196	-0.680776131552734
ALK	-0.696429046664326	-0.0838065609027417	6	1201	-0.612622485761584
PIK3CA	-1.03579514507358	-0.424528730597839	48	1148	-0.611266414475736
MAP2K1	-0.344618723279007	-0.140339607176293	7	1200	-0.204279116102714
