gene	tier	score	evidence_tags
ALK	A	10	ped_solid_GoF_SNV;kinase;NB_hotspots;manual_2026
BRAF	A	10	ped_solid_GoF_SNV;MAPK;pLGG_HGG;V600E_context;manual_2026
KRAS	A	10	ped_solid_GoF_SNV;RAS_family;manual_2026
NRAS	A	10	ped_solid_GoF_SNV;RAS_family;manual_2026
HRAS	A	10	ped_solid_GoF_SNV;RAS_family;manual_2026
EGFR	A	10	ped_solid_GoF_SNV;RTK;manual_2026
FLT3	A	9.5	ped_heme_solid_GoF_SNV;RTK;AML_TKD_ITD_context;pecan_STJ;manual_2026
FGFR1	A	9.5	ped_solid_GoF_SNV;RTK;pLGG;manual_2026
FGFR4	A	9.5	ped_solid_GoF_SNV;RTK;RMS;manual_2026
PIK3CA	A	9.5	ped_solid_GoF_SNV;PI3K_pathway;manual_2026
MTOR	A	9	ped_solid_GoF_SNV;PI3K_AKT_mTOR;manual_2026
AKT1	A	9	ped_solid_GoF_SNV;PI3K_AKT_mTOR;manual_2026
CTNNB1	A	9.5	ped_solid_GoF_SNV;WNT;exon3_hotspots;manual_2026
SMO	A	9	ped_solid_GoF_SNV;SHH_MB;manual_2026
ACVR1	A	9.5	ped_solid_GoF_SNV;BMP_pathway;DMG;manual_2026
PDGFRA	A	9.5	ped_solid_GoF_SNV;RTK;pHGG;manual_2026
IDH1	A	9	ped_solid_GoF_SNV;metabolic_glioma;manual_2026
H3F3A	A	9.5	ped_solid_GoF_SNV;oncohistone;DMG_HGG;manual_2026
HIST1H3B	A	9.5	ped_solid_GoF_SNV;oncohistone;H3K27_context;manual_2026
HIST1H3C	A	9	ped_solid_GoF_SNV;oncohistone;H3G34_context;manual_2026
KIT	A	8.5	ped_solid_GoF_SNV;kinase;manual_2026
PTPN11	A	8.5	ped_solid_GoF_SNV;RAS_pathway_SHP2;manual_2026
MYCN	A	8	GoF_context;often_amplification;NB;manual_2026
MYC	A	8	GoF_context;often_amplification;manual_2026
