gene	chrom	start	end	strand	ensembl_id	biotype	tier	score	evidence_tags
ALK	chr2	29192774	29921586	-1	ENSG00000171094	protein_coding	A	10	ped_solid_GoF_SNV;kinase;NB_hotspots;manual_2026
BRAF	chr7	140719327	140924976	-1	ENSG00000157764	protein_coding	A	10	ped_solid_GoF_SNV;MAPK;pLGG_HGG;V600E_context;manual_2026
EGFR	chr7	55018820	55211628	1	ENSG00000146648	protein_coding	A	10	ped_solid_GoF_SNV;RTK;manual_2026
HRAS	chr11	532242	537343	-1	ENSG00000174775	protein_coding	A	10	ped_solid_GoF_SNV;RAS_family;manual_2026
KRAS	chr12	25205246	25250936	-1	ENSG00000133703	protein_coding	A	10	ped_solid_GoF_SNV;RAS_family;manual_2026
NRAS	chr1	114704469	114716771	-1	ENSG00000213281	protein_coding	A	10	ped_solid_GoF_SNV;RAS_family;manual_2026
ACVR1	chr2	157736249	157876347	-1	ENSG00000115170	protein_coding	A	9.5	ped_solid_GoF_SNV;BMP_pathway;DMG;manual_2026
CTNNB1	chr3	41194741	41260096	1	ENSG00000168036	protein_coding	A	9.5	ped_solid_GoF_SNV;WNT;exon3_hotspots;manual_2026
FGFR1	chr8	38400215	38468834	-1	ENSG00000077782	protein_coding	A	9.5	ped_solid_GoF_SNV;RTK;pLGG;manual_2026
FGFR4	chr5	177086456	177098151	1	ENSG00000160867	protein_coding	A	9.5	ped_solid_GoF_SNV;RTK;RMS;manual_2026
FLT3	chr13	28003274	28100592	-1	ENSG00000122025	protein_coding	A	9.5	ped_heme_solid_GoF_SNV;RTK;AML_TKD_ITD_context;pecan_STJ;manual_2026
H3F3A	chr1	226061571	226073206	1	ENSG00000163041	protein_coding	A	9.5	ped_solid_GoF_SNV;oncohistone;DMG_HGG;manual_2026
HIST1H3B	chr6	26031589	26032099	-1	ENSG00000286522	protein_coding	A	9.5	ped_solid_GoF_SNV;oncohistone;H3K27_context;manual_2026
PDGFRA	chr4	54229130	54298246	1	ENSG00000134853	protein_coding	A	9.5	ped_solid_GoF_SNV;RTK;pHGG;manual_2026
PIK3CA	chr3	179148114	179240093	1	ENSG00000121879	protein_coding	A	9.5	ped_solid_GoF_SNV;PI3K_pathway;manual_2026
AKT1	chr14	104769348	104799934	-1	ENSG00000142208	protein_coding	A	9	ped_solid_GoF_SNV;PI3K_AKT_mTOR;manual_2026
HIST1H3C	chr6	26045384	26045869	1	ENSG00000287080	protein_coding	A	9	ped_solid_GoF_SNV;oncohistone;H3G34_context;manual_2026
IDH1	chr2	208236224	208266095	-1	ENSG00000138413	protein_coding	A	9	ped_solid_GoF_SNV;metabolic_glioma;manual_2026
MTOR	chr1	11106531	11262556	-1	ENSG00000198793	protein_coding	A	9	ped_solid_GoF_SNV;PI3K_AKT_mTOR;manual_2026
SMO	chr7	129188511	129213546	1	ENSG00000128602	protein_coding	A	9	ped_solid_GoF_SNV;SHH_MB;manual_2026
KIT	chr4	54657267	54740783	1	ENSG00000157404	protein_coding	A	8.5	ped_solid_GoF_SNV;kinase;manual_2026
PTPN11	chr12	112418351	112509918	1	ENSG00000179295	protein_coding	A	8.5	ped_solid_GoF_SNV;RAS_pathway_SHP2;manual_2026
MYC	chr8	127735434	127742951	1	ENSG00000136997	protein_coding	A	8	GoF_context;often_amplification;manual_2026
MYCN	chr2	15938396	15947022	1	ENSG00000134323	protein_coding	A	8	GoF_context;often_amplification;NB;manual_2026
